
*******   STEP   1      *** NEFF=10 CALCULATION                
   11   0.110E-03   0.448E-03   0.193E-03

*******   STEP  18      *** NEFF=10 CALCULATION                
    1   0.887E-02   0.287E-01   0.467E-01
    2   0.781E-02   0.586E-01   0.358E-01
    3   0.502E-02   0.388E-01   0.209E-01
    4   0.269E-02   0.204E-01   0.103E-01
    5   0.114E-02   0.876E-02   0.402E-02
    6   0.337E-03   0.264E-02   0.100E-02
    7   0.120E-03   0.858E-03   0.918E-03

*******   STEP  19      *** NEFF=10 CALCULATION                
    1   0.849E-02   0.246E-01   0.458E-01
    2   0.706E-02   0.541E-01   0.326E-01
    3   0.455E-02   0.346E-01   0.185E-01
    4   0.215E-02   0.160E-01   0.739E-02
    5   0.558E-03   0.334E-02   0.961E-03
    6   0.424E-03   0.339E-02   0.307E-02
    7   0.457E-03   0.471E-02   0.348E-02
    8   0.527E-03   0.408E-02   0.240E-02
    9   0.353E-03   0.216E-02   0.883E-03
   10   0.130E-03   0.598E-03   0.620E-03

*******   STEP  20      *** NEFF=10 CALCULATION                
    1   0.842E-02   0.254E-01   0.469E-01
    2   0.675E-02   0.537E-01   0.321E-01
    3   0.399E-02   0.319E-01   0.175E-01
    4   0.186E-02   0.138E-01   0.636E-02
    5   0.407E-03   0.181E-02   0.255E-02
    6   0.631E-03   0.509E-02   0.464E-02
    7   0.604E-03   0.560E-02   0.416E-02
    8   0.555E-03   0.388E-02   0.208E-02
    9   0.291E-03   0.110E-02   0.498E-03
   10   0.112E-03   0.194E-02   0.198E-02
   11   0.286E-03   0.303E-02   0.230E-02
   12   0.338E-03   0.260E-02   0.156E-02
   13   0.225E-03   0.126E-02   0.446E-03
   14   0.740E-04   0.339E-03   0.598E-03

*******   STEP  21      *** NEFF=10 CALCULATION                
    1   0.779E-02   0.204E-01   0.459E-01
    2   0.597E-02   0.495E-01   0.297E-01
    3   0.344E-02   0.283E-01   0.159E-01
    4   0.162E-02   0.125E-01   0.622E-02
    5   0.406E-03   0.250E-02   0.292E-02
    6   0.478E-03   0.372E-02   0.398E-02
    7   0.442E-03   0.402E-02   0.326E-02
    8   0.390E-03   0.255E-02   0.130E-02
    9   0.177E-03   0.627E-03   0.878E-03

*******   STEP  22      *** NEFF=10 CALCULATION                
    1   0.528E-02   0.429E-02   0.363E-01
    2   0.476E-02   0.397E-01   0.252E-01
    3   0.333E-02   0.271E-01   0.164E-01
    4   0.183E-02   0.146E-01   0.784E-02
    5   0.586E-03   0.407E-02   0.201E-02
    6   0.347E-03   0.250E-02   0.350E-02
    7   0.381E-03   0.411E-02   0.400E-02
    8   0.468E-03   0.364E-02   0.248E-02
    9   0.316E-03   0.159E-02   0.460E-03
   10   0.890E-04   0.964E-03   0.156E-02
   11   0.189E-03   0.237E-02   0.222E-02
   12   0.273E-03   0.241E-02   0.173E-02
   13   0.219E-03   0.136E-02   0.607E-03
   14   0.864E-04   0.126E-03   0.563E-03

*******   STEP  23      *** NEFF=10 CALCULATION                
    1   0.495E-02   0.574E-02   0.342E-01
    2   0.409E-02   0.347E-01   0.222E-01
    3   0.288E-02   0.240E-01   0.149E-01
    4   0.170E-02   0.139E-01   0.796E-02
    5   0.661E-03   0.508E-02   0.240E-02
    6   0.191E-03   0.101E-02   0.235E-02
    7   0.222E-03   0.278E-02   0.321E-02
    8   0.346E-03   0.309E-02   0.248E-02
    9   0.287E-03   0.177E-02   0.822E-03
   10   0.111E-03   0.297E-03   0.852E-03

*******   STEP  24      *** NEFF=10 CALCULATION                
    1   0.468E-02   0.393E-02   0.331E-01
    2   0.404E-02   0.351E-01   0.226E-01
    3   0.286E-02   0.243E-01   0.152E-01
    4   0.165E-02   0.138E-01   0.793E-02
    5   0.626E-03   0.492E-02   0.243E-02
    6   0.186E-03   0.977E-03   0.237E-02
    7   0.209E-03   0.253E-02   0.300E-02
    8   0.309E-03   0.270E-02   0.219E-02
    9   0.244E-03   0.145E-02   0.633E-03
   10   0.843E-04   0.329E-03   0.853E-03

*******   STEP  25      *** NEFF=10 CALCULATION                
    1   0.440E-02   0.371E-02   0.315E-01
    2   0.371E-02   0.328E-01   0.212E-01
    3   0.263E-02   0.228E-01   0.145E-01
    4   0.156E-02   0.133E-01   0.788E-02
    5   0.642E-03   0.527E-02   0.268E-02
    6   0.150E-03   0.680E-03   0.185E-02
    7   0.139E-03   0.181E-02   0.249E-02
    8   0.240E-03   0.222E-02   0.196E-02
    9   0.208E-03   0.136E-02   0.723E-03
   10   0.860E-04   0.183E-03   0.528E-03

*******   STEP  26      *** NEFF=10 CALCULATION                
    1   0.411E-02   0.368E-02   0.299E-01
    2   0.338E-02   0.304E-01   0.197E-01
    3   0.241E-02   0.212E-01   0.137E-01
    4   0.147E-02   0.128E-01   0.779E-02
    5   0.657E-03   0.558E-02   0.295E-02
    6   0.354E-03   0.134E-02   0.207E-02
    7   0.135E-03   0.221E-02   0.316E-02
    8   0.300E-03   0.294E-02   0.264E-02
    9   0.275E-03   0.195E-02   0.115E-02
   10   0.130E-03   0.399E-03   0.457E-03

*******   STEP  27      *** NEFF=10 CALCULATION                
    1   0.383E-02   0.348E-02   0.285E-01
    2   0.311E-02   0.283E-01   0.183E-01
    3   0.221E-02   0.199E-01   0.129E-01
    4   0.138E-02   0.123E-01   0.762E-02
    5   0.659E-03   0.575E-02   0.316E-02
    6   0.374E-03   0.177E-02   0.164E-02
    7   0.945E-04   0.153E-02   0.255E-02
    8   0.227E-03   0.236E-02   0.226E-02
    9   0.226E-03   0.172E-02   0.112E-02
   10   0.120E-03   0.521E-03   0.249E-03

*******   STEP  28      *** NEFF=10 CALCULATION                
    1   0.358E-02   0.346E-02   0.271E-01
    2   0.280E-02   0.257E-01   0.167E-01
    3   0.199E-02   0.182E-01   0.118E-01
    4   0.128E-02   0.116E-01   0.734E-02
    5   0.868E-03   0.617E-02   0.307E-02
    6   0.346E-03   0.143E-02   0.189E-02
    7   0.112E-03   0.187E-02   0.268E-02
    8   0.241E-03   0.242E-02   0.218E-02
    9   0.216E-03   0.161E-02   0.974E-03
   10   0.104E-03   0.450E-03   0.291E-03

*******   STEP  29      *** NEFF=10 CALCULATION                
    1   0.335E-02   0.323E-02   0.261E-01
    2   0.254E-02   0.234E-01   0.151E-01
    3   0.178E-02   0.165E-01   0.107E-01
    4   0.117E-02   0.108E-01   0.697E-02
    5   0.811E-03   0.614E-02   0.321E-02
    6   0.364E-03   0.195E-02   0.135E-02
    7   0.804E-04   0.120E-02   0.195E-02
    8   0.165E-03   0.181E-02   0.174E-02
    9   0.166E-03   0.137E-02   0.914E-03
   10   0.938E-04   0.557E-03   0.180E-03

*******   STEP  30      *** NEFF=10 CALCULATION                
    1   0.312E-02   0.323E-02   0.252E-01
    2   0.227E-02   0.210E-01   0.136E-01
    3   0.157E-02   0.148E-01   0.955E-02
    4   0.115E-02   0.102E-01   0.639E-02
    5   0.726E-03   0.558E-02   0.286E-02
    6   0.321E-03   0.199E-02   0.117E-02
    7   0.839E-04   0.104E-02   0.141E-02
    8   0.114E-03   0.132E-02   0.120E-02
    9   0.127E-03   0.109E-02   0.687E-03
   10   0.624E-04   0.480E-03   0.196E-03

